index,magnitude,phase_angle,is_predicted
0,24801.626953125,-44.45006515612092,False
1,24801.626953125,-44.22088157361573,False
2,24801.626953125,-44.01461669087051,False
3,24792.470703125,-43.79116363707896,False
4,24801.626953125,-43.561980054573766,False
5,24801.626953125,-43.33279647206857,False
6,24801.626953125,-43.10361630465797,False
7,24801.626953125,-42.89162089319911,False
8,24801.626953125,-42.67389495302662,False
9,24801.626953125,-42.433253728188724,False
10,24801.626953125,-42.19261250335084,False
11,24801.626953125,-41.963428920845644,False
12,24810.78125,-41.73424533834045,False
13,24810.78125,-41.50506175583526,False
14,24801.626953125,-41.29306975947099,False
15,24801.626953125,-41.063886176965795,False
16,24801.626953125,-40.84043312317424,False
17,24801.626953125,-40.622707183001744,False
18,24801.626953125,-40.40498465792383,False
19,24801.626953125,-40.18153160413228,False
20,24801.626953125,-39.96380566395979,False
21,24801.626953125,-39.734622081454596,False
22,24801.626953125,-39.511169027663044,False
23,24801.626953125,-39.28198544515785,False
24,24801.626953125,-39.06426292007994,False
25,24801.626953125,-38.823621695242046,False
26,24801.626953125,-39.06426292007994,False
27,24801.626953125,-38.83507933757475,False
28,24801.626953125,-38.611626283783195,False
29,24801.626953125,-38.393900343610696,False
30,24801.626953125,-38.18190834724643,False
31,24792.470703125,-37.96418240707393,False
32,24792.470703125,-37.740729353282376,False
33,24792.470703125,-37.51154577077718,False
34,24792.470703125,-37.31101141674561,False
35,24792.470703125,-37.10474653400039,False
36,24792.498046875,-36.89274770744695,True
37,24792.578125,-36.67501493708529,True
38,24792.470703125,-36.474494243432055,False
39,24792.470703125,-36.23384960349958,False
40,24790.345703125,-36.38279553873004,True
41,24792.470703125,-35.81559272439009,False
42,24792.470703125,-35.603597312931235,False
43,24783.31640625,-35.38014425913968,False
44,24783.31640625,-35.17387937639447,False
45,24783.31640625,-34.944695793889274,False
46,24783.31640625,-34.72124274009772,False
47,24783.31640625,-34.51497785735251,False
48,24783.31640625,-34.302982445893655,False
49,24783.31640625,-34.07379886338846,False
50,24783.31640625,-33.85034580959691,False
51,24783.31640625,-33.621162227091716,False
52,24792.470703125,-33.403439702013806,False
53,24783.31640625,-33.185717176935896,False
54,24755.853515625,-32.96750970842691,True
55,24783.31640625,-32.744538182971844,False
56,24783.31640625,-32.51535460046665,False
57,24783.31640625,-32.280440489247816,False
58,24783.31640625,-32.062717964169906,False
59,24783.31640625,-31.833534381664712,False
60,24783.375,-31.592886326637654,True
61,24774.16015625,-31.403816445127948,False
62,24774.16015625,-31.180363391336392,False
63,24774.16015625,-30.962640866258482,False
64,24774.1328125,-30.750645454799628,True
65,24774.16015625,-30.515731343580793,False
66,24774.16015625,-30.303739347216524,False
67,24773.033203125,-30.32665121678733,True
68,24774.16015625,-29.862560353252473,False
69,24774.16015625,-29.644837828174563,False
70,24774.16015625,-29.432842416715708,False
71,24765.005859375,-29.215116476543212,False
72,24765.005859375,-29.00312448017894,False
73,24765.005859375,-28.785398540006444,False
74,24765.005859375,-28.550486136334904,False
75,24765.005859375,-28.33276361125699,False
76,24765.005859375,-28.120768199798135,False
77,24755.849609375,-27.92023384576656,False
78,24755.849609375,-27.713968963021344,False
79,24755.849609375,-27.4905142016825,False
80,24755.935546875,-27.249867854202733,True
81,24755.849609375,-27.043608094099397,False
82,24755.849609375,-26.820155040307846,False
83,24755.849609375,-26.590971457802652,False
84,24755.849609375,-26.36178787529746,False
85,24755.849609375,-26.11541612174593,False
86,24755.849609375,-26.33314035437113,False
87,24755.849609375,-26.09249742198595,False
88,24765.005859375,-25.86331554702805,False
89,24765.005859375,-25.62267261464287,False
90,24755.849609375,-25.404948382017665,False
91,24755.849609375,-25.164307157179774,False
92,24765.005859375,-24.923664224794592,False
93,24765.005859375,-24.694480642289403,False
94,24765.005859375,-24.46529705978421,False
95,24765.005859375,-24.22465583494632,False
96,24765.005859375,-23.984012902561137,False
97,24765.005859375,-23.743371677723246,False
98,24765.005859375,-23.514188095218056,False
99,24765.005859375,-23.273545162832875,False
100,24765.068359375,-23.02143946547312,True
101,24765.005859375,-22.81517970536978,False
102,24765.005859375,-22.574536772984597,False
103,24765.005859375,-22.33389554814671,False
104,24765.005859375,-22.104711965641517,False
105,24765.005859375,-21.875528383136324,False
106,24765.005859375,-21.640615979464783,False
107,24765.005859375,-21.41143239695959,False
108,24764.9765625,-21.18797422052616,True
109,24764.888671875,-20.970234619975322,True
110,24774.16015625,-20.695235836064978,False
111,24774.16015625,-20.460323432393437,False
112,24774.16015625,-20.231139849888244,False
113,24774.16015625,-20.00195626738305,False
114,24765.005859375,-19.772772684877857,False
115,24774.16015625,-19.52067211015998,False
116,24774.16015625,-19.280029177774797,False
117,24774.16015625,-19.050847302816898,False
118,24774.16015625,-18.821663720311705,False
119,24774.16015625,-18.581020787926523,False
120,24774.22265625,-18.328915090566767,True
121,24774.16015625,-18.105467159417092,False
122,24774.16015625,-17.87055304819826,False
123,24774.16015625,-17.652828815573056,False
124,24774.16015625,-17.435106290495145,False
125,24774.16015625,-17.20019217927631,False
126,24765.005859375,-16.9824696541984,False
127,24774.16015625,-16.764745421573195,False
128,24774.16015625,-16.535561839068002,False
129,24774.16015625,-16.32356813515644,False
130,24765.005859375,-16.082925202771257,False
131,24765.005859375,-15.853741620266064,False
132,24774.099609375,-15.636266689545566,True
133,24774.16015625,-15.395376162802972,False
134,24774.16015625,-15.171923109011418,False
135,24774.16015625,-14.954198876386215,False
136,24774.16015625,-14.725015293881022,False
137,24774.16015625,-14.50156224008947,False
138,24765.005859375,-14.272378657584277,False
139,24746.7265625,-14.037200730308752,True
140,24774.16015625,-13.831201371167522,False
141,24774.16015625,-13.602017788662328,False
142,24774.16015625,-13.37283505993078,False
143,24765.005859375,-13.143651477425589,False
144,24765.005859375,-12.920198423634037,False
145,24774.16015625,-12.702474191008832,False
146,24774.16015625,-12.943116269620369,False
147,24774.16015625,-12.731122565708805,False
148,24776.33203125,-12.066538329277394,True
149,24774.16015625,-12.272756254472066,False
150,24774.16015625,-12.055032021846861,False
151,24774.16015625,-11.82011961817532,False
152,24774.16015625,-11.613854735430104,False
153,24774.16015625,-11.384671152924913,False
154,24774.16015625,-11.161218099133361,False
155,24774.16015625,-10.932034516628168,False
156,24774.16015625,-10.70285178789662,False
157,24774.16015625,-10.485127555271417,False
158,24774.16015625,-10.261674501479865,False
159,24774.16015625,-10.04395026885466,False
160,24774.1328125,-9.83195144230122,True
161,24774.16015625,-9.602772982437905,False
162,24774.16015625,-9.373589399932712,False
163,24774.16015625,-9.15013634614116,False
164,24774.16015625,-8.932412113515955,False
165,24774.1328125,-8.720413286962515,True
166,24765.005859375,-8.502693323205541,False
167,24765.005859375,-8.284969944353984,False
168,24765.005859375,-8.072975386668775,False
169,24765.005859375,-7.855251154043571,False
170,24765.005859375,-7.631798100252019,False
171,24765.005859375,-7.402614517746826,False
172,24765.005859375,-7.17343178901528,False
173,24765.005859375,-6.944248633396909,False
174,24765.005859375,-6.715061208910308,True
175,24765.005859375,-6.4858665273477145,True
176,24765.005859375,-6.273887764474961,False
177,24765.005859375,-6.061893633676574,False
178,24762.806640625,-6.308255568831172,True
179,24765.005859375,-5.632175270252984,False
180,24765.005859375,-5.420180712567774,False
181,24755.849609375,-5.2253751797025485,False
182,24755.849609375,-5.001921699024173,False
183,24755.849609375,-4.7956568162789575,False
184,24755.849609375,-4.560743985720594,False
185,24755.849609375,-4.331560830102224,False
186,24765.005859375,-4.102377674483854,False
187,24755.849609375,-3.8846538687454735,False
188,24755.849609375,-3.655470713127104,False
189,24755.849609375,-3.4320172324487284,False
190,24755.849609375,-3.1913749403937812,False
191,24755.849609375,-2.9621917847754116,False
192,24765.005859375,-2.7215494927204644,False
193,24765.005859375,-2.4809072006655173,False
194,24765.005859375,-2.2402649086105706,False
195,24765.005859375,-2.0053522914956177,False
196,24765.005859375,-1.7704395676589593,False
197,24765.005859375,-1.5412565187622955,False
198,24764.9765625,-1.3177990893808063,True
199,24774.16015625,-1.082890207525556,False
200,24774.16015625,-0.8537071052680392,False
