phase_angle	Orig
-36.97758549	-35.78121431
-34.1510244	-32.87058871
-32.3906012	-31.11160828
-31.2595731	-30.02298846
-30.4949744	-29.14063346
-30.48566689	-28.93436865
-30.4949744	-28.69372638
-27.36427352	-26.10395715
-25.23833958	-24.02412035
-21.52608395	-20.22541017
-18.64779784	-17.42364655
-15.71688683	-14.51302095
-12.05204979	-10.71431077
-10.6401737	-9.344941639
-5.700059667	-4.354479243
-2.363843948	-1.071431077
-1.852936193	-0.423988768
2.010632241	2.549662188
4.066198589	3.414828459
5.07698249	5.317048339
5.07698249	6.417127305
7.864636688	6.617662534
8.095330596	9.167324722
9.604401129	9.608502224
12.36145309	10.98933051
15.27519898	13.64785468
16.07363523	16.61577606
25.40209166	25.39921906
25.40209166	26.78004734
25.40209166	26.94620511
25.44200045	27.16965865
27.21831409	27.60510657
36.10487514	28.70518554
40.54957635	37.51727643
43.5329859	41.94624018
46.74683238	44.90843198
50.80650558	48.08834775
52.55942923	52.11624105
56.51152695	53.94970599
58.33823714	57.90884435
59.86501664	59.87981917
61.08184466	61.28929535
69.08184466	70.48526796
69.15184466	70.71445108
71.38797607	70.95509335
71.70613994	72.77709914
72.89144414	73.46464849
75.90975938	77.32638403
75.99213146	77.80766858
76.13148098	78.26603481
76.13148098	78.50667709
76.66536955	79.2572518
80.8978397	82.29965769
81.26225761	83.03877325
83.46465211	84.8951565
83.57489136	85.37644105
85.83001492	87.209906
87.44765643	88.83710614
89.74350158	91.11747816
91.55067401	92.95667268
91.87145385	93.64995161
92.08359269	94.10831785
94.4226866	95.64957432
94.84868549	96.02772646
98.86187925	96.67516877
100.2379165	100.2676141
101.2424291	101.6656312
104.2424291	105.7049836
109.3045145	105.9398963
114.1003387	110.7298235
115.2995425	115.5254802
121.3658636	122.7275597
121.5529425	123.1973851
129.9362484	123.6901288
130.5960583	131.4651661
130.5960583	132.4793014
133.1271078	132.7199437
134.6983245	135.2180397
134.6983245	136.4556285
136.6876035	136.7077299
143.8857213	138.1802315
149.1991303	145.4682546
156.8472347	150.82541
156.8472347	158.468667
161.5282912	158.726498
164.4758183	163.1554617
167.0982148	166.0775465
171.1511398	168.6272087
172.9684209	172.7066682
173.6129722	174.4771078
176.5777934	175.5370797
178.2408761	178.2471701
-176.6380356	-179.3529786
-175.8873978	-175.1818459
-172.5286523	-174.4026233
-172.0474518	-171.0909272
-171.3498436	-170.6039131
-169.0198612	-169.8246905
-168.4501824	-167.5042114
-165.8836432	-167.0114677
-163.5833175	-164.4446168
-161.0838234	-162.1355969
-159.9925368	-159.6203121
-158.0127791	-158.6004473
-151.9427764	-156.4346668
-142.3697471	-150.4014212
-132.3792431	-140.8731331
-132.3792431	-130.7833463
-131.4346689	-130.4911378
-130.1870939	-129.6317011
-130.1870939	-128.5144334
-128.8436503	-128.2451433
-125.2556153	-127.1622531
-122.4881593	-123.6213739
-119.3947666	-120.8654469
-119.3947666	-117.8516889
-117.0245271	-117.5938579
-115.2059619	-115.473914
-114.212586	-113.6519082
-110.779849	-112.6205842
-108.7639255	-109.2916994
-102.5671271	-107.2233218
-102.1381298	-100.920786
-101.3220519	-100.3936649
-98.91961484	-99.56287606
-97.33718979	-97.37417728
-97.33718979	-95.74124757
-86.91734689	-95.4719574
-84.76477862	-85.3649819
-84.13278805	-83.2335789
-84.13278805	-82.43143799
-79.79483928	-82.17360698
-69.05043945	-78.22019819
-66.90472186	-67.45432122
-65.57492501	-65.34010696
-61.45255751	-64.04522234
-58.59892497	-59.92565579
-58.24453377	-57.04367808
-51.81445708	-56.57385269
-47.7286789	-50.21402117
-47.7286789	-46.22050533
-46.51587636	-45.95121517
-46.51587636	-44.86259536
-42.1208921	-44.5933052
-40.72463068	-40.52530485
-36.49405591	-39.17312445
-33.79764065	-34.91031846
-32.39808708	-32.24033513
-31.7439667	-30.9225322
-26.57975116	-30.18341665
-25.90736173	-25.01533734
-24.76822961	-24.19027811
-24.76822961	-23.07301041
