magnitude	orig
12433.31934	12442.01193
12432.85645	12432.85666
12432.85645	12442.01193
12436.86133	12442.01193
12432.67285	12442.01193
12432.67285	12442.01193
12432.67285	12442.01193
12442.01172	12442.01193
12439.49023	12432.85666
12432.85645	12432.85666
12423.64746	12423.70139
12416.0127	12414.54612
12423.7002	12423.70139
12423.70117	12423.70139
12423.7002	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12412.78906	12423.70139
12414.50098	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12432.85352	12432.85666
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12414.54612
12416.42188	12423.70139
12417.79199	12414.54612
12414.5459	12414.54612
12414.33203	12405.39085
12396.1875	12396.23558
12393.80957	12396.23558
12400.57031	12405.39085
12405.39063	12405.39085
12405.39063	12405.39085
12405.34375	12405.39085
12405.34375	12405.39085
12405.34375	12405.39085
12405.39063	12405.39085
12405.39063	12405.39085
12405.38965	12405.39085
12405.38965	12414.54612
12404.11719	12414.54612
12407.02441	12414.54612
12407.02441	12414.54612
12411.83008	12423.70139
12415.49023	12423.70139
12414.49707	12414.54612
12418.48242	12414.54612
12417.45508	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12405.39085
12412.79102	12396.23558
12399.0752	12396.23558
12395.81152	12387.08031
12387.08008	12387.08031
12387.08008	12387.08031
12389.14941	12387.08031
12389.14941	12387.08031
12389.14746	12387.08031
12387.08008	12377.92504
12377.9248	12359.6145
12377.9248	12359.6145
12368.32324	12377.92504
12377.9248	12377.92504
12377.9248	12377.92504
12377.9248	12377.92504
12377.9248	12377.92504
12370.65625	12377.92504
12370.65625	12377.92504
12377.9248	12350.45923
12354.4082	12387.08031
12376.45117	12396.23558
12385.32129	12387.08031
12385.32129	12396.23558
12388.90918	12405.39085
12405.39063	12405.39085
12409.72363	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12423.70139
12413.375	12423.70139
12415.00488	12414.54612
12414.5459	12414.54612
12414.5459	12405.39085
12404.21875	12405.39085
12404.21875	12405.39085
12404.21875	12405.39085
12405.39063	12405.39085
12405.39063	12405.39085
12400.30859	12405.39085
12405.39063	12396.23558
12390.65137	12396.23558
12396.23535	12396.23558
12396.23535	12405.39085
12405.39063	12396.23558
12397.94727	12387.08031
12393.70605	12396.23558
12393.70605	12396.23558
12389.07227	12396.23558
12396.23535	12396.23558
12396.23535	12396.23558
12396.23535	12396.23558
12398.24121	12405.39085
12405.39063	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.13965	12414.54612
12414.5459	12414.54612
12414.5459	12405.39085
12414.5459	12414.54612
12414.54492	12405.39085
12414.5459	12414.54612
12414.54492	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.49707	12414.54612
12418.06641	12414.54612
12413.375	12414.54612
12413.375	12414.54612
12407.21777	12423.70139
12423.70117	12423.70139
12417.64258	12423.70139
12423.7002	12423.70139
12423.70117	12414.54612
12418.06641	12414.54612
12414.54492	12414.54612
12414.5459	12414.54612
12416.37207	12423.70139
12416.37207	12423.70139
12418.87988	12423.70139
12418.87988	12432.85666
12423.65137	12432.85666
12432.85645	12432.85666
12432.85645	12432.85666
12434.50293	12432.85666
12431.68555	12432.85666
12431.68555	12432.85666
12425.52637	12432.85666
12432.85645	12432.85666
12432.85645	12432.85666
12432.85645	12442.01193
12432.85645	12442.01193
12442.01172	12442.01193
12442.01172	12442.01193
12442.01074	12432.85666
12442.01172	12432.85666
12431.68457	12432.85666
12431.68457	12432.85666
12431.68457	12432.85666
12432.85645	12432.85666
12441.86621	12432.85666
12432.85645	12423.70139
12422.52637	12423.70139
12423.70117	12414.54612
12423.70117	12405.39085
12413.37012	12396.23558
12414.5459	12396.23558
12396.18164	12396.23558
12396.23535	12396.23558
12396.23535	12387.08031
12396.23535	12387.08031
12388.90137	12387.08031
12379.90527	12387.08031
12387.66992	12387.08031
12387.66992	12377.92504
12386.67383	12377.92504
12376.41699	12377.92504
12378.38672	12377.92504
12380.53125	12377.92504
12377.9248	12377.92504
12377.9248	12377.92504
12377.9248	12387.08031
12376.75586	12387.08031
12382.25684	12387.08031
12387.08008	12387.08031
12387.08008	12377.92504
12387.0791	12377.92504
12377.9248	12377.92504
12377.92383	12387.08031
12376.75684	12387.08031
12387.08008	12396.23558
12387.08008	12396.23558
12385.91016	12387.08031
12387.08008	12387.08031
12386.67383	12387.08031
12387.08008	12387.08031
12387.08008	12387.08031
12387.08008	12387.08031
12387.08008	12377.92504
12380.85352	12377.92504
12380.78418	12377.92504
12377.92188	12377.92504
12377.9248	12377.92504
12377.9248	12359.6145
12377.9248	12359.6145
12359.61426	12359.6145
12359.61426	12377.92504
12359.61426	12359.6145
12359.61133	12359.6145
12352.22363	12359.6145
12359.61328	12359.6145
12359.61426	12377.92504
12356.125	12377.92504
12356.125	12377.92504
12377.9248	12387.08031
12377.9248	12387.08031
12375.35742	12387.08031
12387.08008	12387.08031
12387.08008	12387.08031
12387.0791	12387.08031
12387.08008	12396.23558
12385.18262	12396.23558
12396.23535	12405.39085
12396.23535	12405.39085
12396.31348	12405.39085
12405.39063	12405.39085
12386.72461	12405.39085
12398.13672	12414.54612
12405.39063	12423.70139
12414.55469	12432.85666
12415.71875	12432.85666
12423.70117	12432.85666
12432.85645	12442.01193
12432.85645	12442.01193
12442.01172	12432.85666
12434.66797	12442.01193
12432.38379	12432.85666
12441.94043	12432.85666
12432.49609	12423.70139
12432.85645	12396.23558
12423.70117	12405.39085
12396.23438	12405.39085
12405.38965	12405.39085
12405.39063	12405.39085
12408.90527	12414.54612
12391.1709	12414.54612
12414.5459	12414.54612
12414.5459	12405.39085
12414.54492	12405.39085
12405.39063	12414.54612
12405.39063	12414.54612
12404.99023	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12405.39085
12414.5459	12405.39085
12405.39063	12405.39085
12405.39063	12405.39085
12405.39063	12405.39085
12405.39063	12405.39085
12405.39063	12414.54612
12405.39063	12414.54612
12414.54492	12414.54612
12411.50977	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12414.54612
12414.5459	12423.70139
12414.5459	12423.70139
12414.50684	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12423.70117	12423.70139
12416.4873	12423.70139
12423.70117	12423.70139
12423.70117	12432.85666
12423.70117	12432.85666
12425.5332	12442.01193
12432.85645	12442.01193
12432.85645	12442.01193
12434.68555	12442.01193
12442.01172	12442.01193
12442.01172	12442.01193
12442.01172	12442.01193
12442.01172	12442.01193
12437.19043	12442.01193
12436.51563	12442.01193
12436.51563	12442.01193
12424.22656	12442.01193
12442.01172	12442.01193
12442.01172	12442.01193
12442.01172	12442.01193
12442.01172	12432.85666
12442.01172	12451.1672
12432.85645	12451.1672
12433.7373	12460.32247
12443.83984	12460.32247
12449.99902	12460.32247
12460.32227	12451.1672
12460.32227	12460.32247
12451.16699	12460.32247
12462.03711	12460.32247
12462.03711	12460.32247
12460.32227	12451.1672
12460.32129	12451.1672
12462.09766	12442.01193
12451.16699	12442.01193
12442.01172	12451.1672
12442.01172	12451.1672
12446.34863	12451.1672
12446.34863	12451.1672
12451.16699	12451.1672
12451.16699	12451.1672
12451.16699	12451.1672
12444.00586	12460.32247
12451.16699	12460.32247
12451.16699	12460.32247
12460.32227	12460.32247
12460.32227	12460.32247
12458.3584	12460.32247
12460.32227	12460.32247
12460.32227	12460.32247
12461.49512	12460.32247
12460.32227	12460.32247
12460.32227	12460.32247
12450	12460.32247
12450	12460.32247
12460.32227	12469.47774
12460.32129	12469.47774
12469.47754	12469.47774
12469.47754	12469.47774
12469.47754	12469.47774
12469.47754	12460.32247
12469.47754	12469.47774
12469.47754	12460.32247
12469.47754	12460.32247
12462.25098	12460.32247
12450	12460.32247
12460.32227	12460.32247
12460.32227	12469.47774
12460.32227	12469.47774
12468.56152	12469.47774
12469.78516	12460.32247
12469.47754	12469.47774
12460.31934	12469.47774
12469.47754	12469.47774
12469.47461	12469.47774
12469.47754	12469.47774
12469.47754	12469.47774
12464.35254	12469.47774
12464.35254	12469.47774
12469.47754	12460.32247
12469.47754	12460.32247
