index,magnitude,phase_angle,is_predicted,received_at
40,12433.3193359375,-36.97758548712768,True,2023-09-28 17:34:52.530368
54,12432.8564453125,-34.15102439723921,True,2023-09-28 17:34:52.575516
63,12432.8564453125,-32.39060119527637,True,2023-09-28 17:34:52.613518
70,12436.861328125,-31.259573095141032,True,2023-09-28 17:34:52.653000
74,12432.6728515625,-30.494974398693124,True,2023-09-28 17:34:52.690677
76,12432.6728515625,-30.494974398693124,True,2023-09-28 17:34:52.691157
78,12432.6728515625,-30.494974398693124,True,2023-09-28 17:34:52.691507
92,12442.01171875,-27.36427352280045,True,2023-09-28 17:34:52.732745
102,12439.490234375,-25.238339577593543,True,2023-09-28 17:34:53.666923
121,12432.8564453125,-21.526083952367422,True,2023-09-28 17:34:53.719951
135,12423.6474609375,-18.647797839894444,True,2023-09-28 17:34:53.772425
150,12416.0126953125,-15.716886827413811,True,2023-09-28 17:34:53.826238
169,12423.7001953125,-12.052049790500504,True,2023-09-28 17:34:55.005162
176,12423.701171875,-10.640173703204352,True,2023-09-28 17:34:55.056063
198,12423.7001953125,-5.700059666640095,True,2023-09-28 17:34:55.109230
214,12423.701171875,-2.3638439481504343,True,2023-09-28 17:34:55.155830
218,12423.701171875,-1.8529361932799602,True,2023-09-28 17:34:56.042496
234,12423.701171875,1.2584081399483125,True,2023-09-28 17:34:56.088450
238,12423.701171875,2.0106322411674493,True,2023-09-28 17:34:56.130536
248,12423.701171875,4.0661985893371195,True,2023-09-28 17:34:56.173028
255,12423.701171875,5.076982489794851,True,2023-09-28 17:34:56.212642
257,12423.701171875,5.076982489794851,True,2023-09-28 17:34:56.212929
269,12412.7890625,7.864636687736815,True,2023-09-28 17:34:57.062275
273,12414.5009765625,8.095330595822226,True,2023-09-28 17:34:57.127185
280,12423.701171875,9.604401128781307,True,2023-09-28 17:34:57.186658
293,12423.701171875,12.361453091033852,True,2023-09-28 17:34:57.231857
306,12432.853515625,15.275198984356596,True,2023-09-28 17:34:57.279071
346,12423.701171875,24.07363522975546,True,2023-09-28 17:34:58.565714
353,12423.701171875,25.402091655397307,True,2023-09-28 17:34:58.608653
355,12423.701171875,25.402091655397307,True,2023-09-28 17:34:58.609242
357,12423.701171875,25.402091655397307,True,2023-09-28 17:34:58.609943
360,12423.701171875,25.442000450717693,True,2023-09-28 17:34:58.656818
366,12423.701171875,27.218314087784567,True,2023-09-28 17:34:58.702811
406,12416.421875,36.104875141402225,True,2023-09-28 17:34:59.696522
425,12417.7919921875,40.54957634755842,True,2023-09-28 17:34:59.750513
439,12414.5458984375,43.532985901547065,True,2023-09-28 17:34:59.801792
454,12414.33203125,46.7468323777536,True,2023-09-28 17:35:00.779073
473,12396.1875,50.80650557511242,True,2023-09-28 17:35:00.821191
483,12393.8095703125,52.559429229366586,True,2023-09-28 17:35:00.865162
500,12400.5703125,56.5115269472977,True,2023-09-28 17:35:00.904237
509,12405.390625,58.33823713515552,True,2023-09-28 17:35:01.836858
516,12405.390625,59.86501664108515,True,2023-09-28 17:35:01.880685
557,12405.34375,69.0818446618296,True,2023-09-28 17:35:02.877835
560,12405.34375,69.0818446618296,True,2023-09-28 17:35:02.878133
561,12405.34375,69.0818446618296,True,2023-09-28 17:35:02.878647
571,12405.390625,71.38797607281437,True,2023-09-28 17:35:02.920064
575,12405.390625,71.7061399447319,True,2023-09-28 17:35:02.960909
580,12405.3896484375,72.89144414310675,True,2023-09-28 17:35:03.006901
593,12405.3896484375,75.90975937884875,True,2023-09-28 17:35:03.052385
