index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-08-22 17:02:18.032110
1,24801.626953125,-44.22088157361573,False,2023-08-22 17:02:18.049362
2,24801.626953125,-44.01461669087051,False,2023-08-22 17:02:18.068705
3,24792.470703125,-43.79116363707896,False,2023-08-22 17:02:18.086697
4,24801.626953125,-43.561980054573766,False,2023-08-22 17:02:18.104895
5,24801.626953125,-43.10361630465797,False,2023-08-22 17:02:18.140344
6,24801.626953125,-42.89162089319911,False,2023-08-22 17:02:18.158219
7,24801.626953125,-42.67389495302662,False,2023-08-22 17:02:18.177268
8,24801.626953125,-42.433253728188724,False,2023-08-22 17:02:18.212652
9,24801.626953125,-41.963428920845644,False,2023-08-22 17:02:18.275035
10,24810.78125,-41.73424533834045,False,2023-08-22 17:02:18.293715
11,24810.78125,-41.50506175583526,False,2023-08-22 17:02:18.326116
12,24801.626953125,-41.29306975947099,False,2023-08-22 17:02:18.358346
13,24801.626953125,-41.063886176965795,False,2023-08-22 17:02:18.376068
14,24801.626953125,-40.84043312317424,False,2023-08-22 17:02:18.394641
15,24801.626953125,-40.622707183001744,False,2023-08-22 17:02:18.411795
16,24801.626953125,-40.40498465792383,False,2023-08-22 17:02:18.429142
17,24801.626953125,-40.18153160413228,False,2023-08-22 17:02:18.446606
18,24801.626953125,-39.96380566395979,False,2023-08-22 17:02:18.467871
19,24801.626953125,-39.734622081454596,False,2023-08-22 17:02:18.497198
20,24801.626953125,-39.511169027663044,False,2023-08-22 17:02:18.517328
21,24801.626953125,-39.28198544515785,False,2023-08-22 17:02:18.534360
22,24801.626953125,-39.06426292007994,False,2023-08-22 17:02:18.552152
23,24801.626953125,-38.823621695242046,False,2023-08-22 17:02:18.573517
24,24801.626953125,-39.06426292007994,False,2023-08-22 17:02:18.589937
25,24801.626953125,-38.83507933757475,False,2023-08-22 17:02:18.609133
26,24801.626953125,-38.611626283783195,False,2023-08-22 17:02:18.626771
27,24801.626953125,-38.393900343610696,False,2023-08-22 17:02:18.645794
28,24801.626953125,-38.18190834724643,False,2023-08-22 17:02:18.665402
29,24792.470703125,-37.96418240707393,False,2023-08-22 17:02:18.683623
30,24792.470703125,-37.740729353282376,False,2023-08-22 17:02:18.702156
31,24792.470703125,-37.51154577077718,False,2023-08-22 17:02:18.722136
32,24792.470703125,-37.31101141674561,False,2023-08-22 17:02:18.740285
33,24792.470703125,-37.10474653400039,False,2023-08-22 17:02:18.756392
34,24792.470703125,-36.88129348020884,False,2023-08-22 17:02:18.774297
35,24792.470703125,-36.66357095513093,False,2023-08-22 17:02:18.792389
36,24792.470703125,-36.474494243432055,False,2023-08-22 17:02:18.810611
37,24792.470703125,-36.23384960349958,False,2023-08-22 17:02:18.828365
