index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-06 12:40:39.633955
1,24801.626953125,-44.22088157361573,False,2023-06-06 12:40:39.658718
2,24801.626953125,-44.01461669087051,False,2023-06-06 12:40:39.680377
3,24792.470703125,-43.79116363707896,False,2023-06-06 12:40:39.706354
4,24801.626953125,-43.561980054573766,False,2023-06-06 12:40:39.726727
5,24801.626953125,-43.33279647206857,False,2023-06-06 12:40:39.746921
6,24801.626953125,-43.10361630465797,False,2023-06-06 12:40:39.764995
7,24801.626953125,-42.89162089319911,False,2023-06-06 12:40:39.783973
8,24801.626953125,-42.67389495302662,False,2023-06-06 12:40:39.803714
9,24801.626953125,-42.433253728188724,False,2023-06-06 12:40:39.822063
10,24801.626953125,-42.19261250335084,False,2023-06-06 12:40:39.841835
11,24801.626953125,-41.963428920845644,False,2023-06-06 12:40:39.860886
12,24810.78125,-41.73424533834045,False,2023-06-06 12:40:39.877224
13,24810.78125,-41.50506175583526,False,2023-06-06 12:40:39.894365
14,24801.626953125,-41.29306975947099,False,2023-06-06 12:40:39.914433
15,24801.626953125,-41.063886176965795,False,2023-06-06 12:40:39.942041
16,24801.626953125,-40.84043312317424,False,2023-06-06 12:40:39.963923
17,24801.626953125,-40.622707183001744,False,2023-06-06 12:40:39.992881
18,24801.626953125,-40.40498465792383,False,2023-06-06 12:40:40.017750
19,24801.626953125,-40.18153160413228,False,2023-06-06 12:40:40.044134
20,24801.626953125,-39.96380566395979,False,2023-06-06 12:40:40.062148
21,24801.626953125,-39.734622081454596,False,2023-06-06 12:40:40.085068
22,24801.626953125,-39.511169027663044,False,2023-06-06 12:40:40.121702
23,24801.626953125,-39.28198544515785,False,2023-06-06 12:40:40.166266
24,24801.626953125,-39.06426292007994,False,2023-06-06 12:40:40.185981
25,24801.626953125,-38.823621695242046,False,2023-06-06 12:40:40.207354
26,24801.626953125,-39.06426292007994,False,2023-06-06 12:40:40.224846
27,24801.626953125,-38.83507933757475,False,2023-06-06 12:40:40.245174
28,24801.626953125,-38.611626283783195,False,2023-06-06 12:40:40.262850
29,24801.626953125,-38.393900343610696,False,2023-06-06 12:40:40.280661
30,24801.626953125,-38.18190834724643,False,2023-06-06 12:40:40.298674
31,24792.470703125,-37.96418240707393,False,2023-06-06 12:40:40.316319
32,24792.470703125,-37.740729353282376,False,2023-06-06 12:40:40.337002
33,24792.470703125,-37.51154577077718,False,2023-06-06 12:40:40.355397
34,24792.470703125,-37.31101141674561,False,2023-06-06 12:40:40.374738
35,24792.470703125,-37.10474653400039,False,2023-06-06 12:40:40.420622
36,24792.470703125,-36.88129348020884,False,2023-06-06 12:40:40.451174
37,24792.470703125,-36.66357095513093,False,2023-06-06 12:40:40.470327
38,24792.470703125,-36.474494243432055,False,2023-06-06 12:40:40.489560
39,24792.470703125,-36.23384960349958,False,2023-06-06 12:40:40.506478
40,24792.470703125,-36.02185760713531,False,2023-06-06 12:40:40.523931
41,24792.470703125,-35.81559272439009,False,2023-06-06 12:40:40.541369
42,24792.470703125,-35.603597312931235,False,2023-06-06 12:40:40.558758
43,24783.31640625,-35.38014425913968,False,2023-06-06 12:40:40.601866
44,24783.31640625,-35.17387937639447,False,2023-06-06 12:40:40.623137
45,24783.31640625,-34.944695793889274,False,2023-06-06 12:40:40.643037
46,24783.31640625,-34.72124274009772,False,2023-06-06 12:40:40.659568
47,24783.31640625,-34.51497785735251,False,2023-06-06 12:40:40.678152
48,24783.31640625,-34.302982445893655,False,2023-06-06 12:40:40.694869
49,24783.31640625,-34.07379886338846,False,2023-06-06 12:40:40.713360
50,24783.31640625,-33.85034580959691,False,2023-06-06 12:40:40.733819
51,24783.31640625,-33.621162227091716,False,2023-06-06 12:40:40.753215
52,24792.470703125,-33.403439702013806,False,2023-06-06 12:40:40.771585
53,24783.31640625,-33.185717176935896,False,2023-06-06 12:40:40.812128
54,24783.31640625,-32.962260708049754,False,2023-06-06 12:40:40.860220
55,24783.31640625,-32.744538182971844,False,2023-06-06 12:40:40.880062
56,24783.31640625,-32.51535460046665,False,2023-06-06 12:40:40.902679
57,24783.31640625,-32.280440489247816,False,2023-06-06 12:40:40.964666
58,24783.31640625,-32.062717964169906,False,2023-06-06 12:40:41.002438
59,24783.31640625,-31.833534381664712,False,2023-06-06 12:40:41.021651
60,24783.31640625,-31.621542385300444,False,2023-06-06 12:40:41.051204
61,24774.16015625,-31.403816445127948,False,2023-06-06 12:40:41.073817
62,24774.16015625,-31.180363391336392,False,2023-06-06 12:40:41.102792
63,24774.16015625,-30.962640866258482,False,2023-06-06 12:40:41.136280
64,24783.31640625,-30.73345728375329,False,2023-06-06 12:40:41.179316
65,24774.16015625,-30.515731343580793,False,2023-06-06 12:40:41.239170
66,24774.16015625,-30.303739347216524,False,2023-06-06 12:40:41.268779
67,24774.16015625,-30.080282878330387,False,2023-06-06 12:40:41.294030
68,24774.16015625,-29.862560353252473,False,2023-06-06 12:40:41.311507
69,24774.16015625,-29.644837828174563,False,2023-06-06 12:40:41.329315
70,24774.16015625,-29.432842416715708,False,2023-06-06 12:40:41.351688
71,24765.005859375,-29.215116476543212,False,2023-06-06 12:40:41.398424
