index,sent_at
0,2023-06-06 12:40:39.632988
1,2023-06-06 12:40:39.657282
2,2023-06-06 12:40:39.679296
3,2023-06-06 12:40:39.705381
4,2023-06-06 12:40:39.725747
5,2023-06-06 12:40:39.745973
6,2023-06-06 12:40:39.763995
7,2023-06-06 12:40:39.783073
8,2023-06-06 12:40:39.802465
9,2023-06-06 12:40:39.820623
10,2023-06-06 12:40:39.840725
11,2023-06-06 12:40:39.858886
12,2023-06-06 12:40:39.876225
13,2023-06-06 12:40:39.893492
14,2023-06-06 12:40:39.913285
15,2023-06-06 12:40:39.940485
16,2023-06-06 12:40:39.961971
17,2023-06-06 12:40:39.990984
18,2023-06-06 12:40:40.014948
19,2023-06-06 12:40:40.043020
20,2023-06-06 12:40:40.061291
21,2023-06-06 12:40:40.083542
22,2023-06-06 12:40:40.119495
23,2023-06-06 12:40:40.165424
24,2023-06-06 12:40:40.185057
25,2023-06-06 12:40:40.206020
26,2023-06-06 12:40:40.223776
27,2023-06-06 12:40:40.243402
28,2023-06-06 12:40:40.261986
29,2023-06-06 12:40:40.279632
30,2023-06-06 12:40:40.297701
31,2023-06-06 12:40:40.315385
32,2023-06-06 12:40:40.335905
33,2023-06-06 12:40:40.353582
34,2023-06-06 12:40:40.372847
35,2023-06-06 12:40:40.419658
36,2023-06-06 12:40:40.450249
37,2023-06-06 12:40:40.468367
38,2023-06-06 12:40:40.488417
39,2023-06-06 12:40:40.505681
40,2023-06-06 12:40:40.523242
41,2023-06-06 12:40:40.540781
42,2023-06-06 12:40:40.558169
43,2023-06-06 12:40:40.601135
44,2023-06-06 12:40:40.622249
45,2023-06-06 12:40:40.641434
46,2023-06-06 12:40:40.658716
47,2023-06-06 12:40:40.676436
48,2023-06-06 12:40:40.693867
49,2023-06-06 12:40:40.712305
50,2023-06-06 12:40:40.732487
51,2023-06-06 12:40:40.752211
52,2023-06-06 12:40:40.770065
53,2023-06-06 12:40:40.811227
54,2023-06-06 12:40:40.858921
55,2023-06-06 12:40:40.878142
56,2023-06-06 12:40:40.901821
57,2023-06-06 12:40:40.963723
58,2023-06-06 12:40:41.001479
59,2023-06-06 12:40:41.020302
60,2023-06-06 12:40:41.049979
61,2023-06-06 12:40:41.072292
62,2023-06-06 12:40:41.101411
63,2023-06-06 12:40:41.134100
64,2023-06-06 12:40:41.178111
65,2023-06-06 12:40:41.236962
66,2023-06-06 12:40:41.267614
67,2023-06-06 12:40:41.293138
68,2023-06-06 12:40:41.310593
69,2023-06-06 12:40:41.328030
70,2023-06-06 12:40:41.350485
71,2023-06-06 12:40:41.397140
72,2023-06-06 12:40:41.417843
73,2023-06-06 12:40:41.469995
74,2023-06-06 12:40:41.501254
75,2023-06-06 12:40:41.519639
76,2023-06-06 12:40:41.587601
77,2023-06-06 12:40:41.639983
78,2023-06-06 12:40:41.687480
79,2023-06-06 12:40:41.711624
80,2023-06-06 12:40:41.751193
81,2023-06-06 12:40:41.838572
82,2023-06-06 12:40:41.855897
83,2023-06-06 12:40:41.889637
84,2023-06-06 12:40:41.909026
85,2023-06-06 12:40:41.940201
86,2023-06-06 12:40:41.959606
87,2023-06-06 12:40:41.997362
88,2023-06-06 12:40:42.036480
89,2023-06-06 12:40:42.068115
90,2023-06-06 12:40:42.104360
91,2023-06-06 12:40:42.124053
92,2023-06-06 12:40:42.159059
93,2023-06-06 12:40:42.176374
94,2023-06-06 12:40:42.234609
95,2023-06-06 12:40:42.271553
96,2023-06-06 12:40:42.294883
97,2023-06-06 12:40:42.318912
98,2023-06-06 12:40:42.349855
99,2023-06-06 12:40:42.367732
100,2023-06-06 12:40:42.465566
101,2023-06-06 12:40:42.519935
102,2023-06-06 12:40:42.542968
103,2023-06-06 12:40:42.565805
104,2023-06-06 12:40:42.620579
105,2023-06-06 12:40:42.644719
106,2023-06-06 12:40:42.721316
107,2023-06-06 12:40:42.768666
108,2023-06-06 12:40:42.823441
109,2023-06-06 12:40:42.859106
110,2023-06-06 12:40:42.877747
111,2023-06-06 12:40:42.917191
112,2023-06-06 12:40:42.943972
113,2023-06-06 12:40:42.965594
114,2023-06-06 12:40:43.001460
115,2023-06-06 12:40:43.021457
116,2023-06-06 12:40:43.045870
117,2023-06-06 12:40:43.063398
