index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-06 16:04:52.707802
1,24801.626953125,-44.22088157361573,False,2023-06-06 16:04:52.732782
2,24801.626953125,-44.01461669087051,False,2023-06-06 16:04:52.757469
3,24792.470703125,-43.79116363707896,False,2023-06-06 16:04:52.784561
4,24801.626953125,-43.561980054573766,False,2023-06-06 16:04:52.802141
5,24801.626953125,-43.33279647206857,False,2023-06-06 16:04:52.821742
6,24801.626953125,-43.10361630465797,False,2023-06-06 16:04:52.839926
7,24801.626953125,-42.89162089319911,False,2023-06-06 16:04:52.860012
8,24801.626953125,-42.67389495302662,False,2023-06-06 16:04:52.889377
9,24801.626953125,-42.433253728188724,False,2023-06-06 16:04:52.909726
10,24801.626953125,-42.19261250335084,False,2023-06-06 16:04:52.937614
11,24801.626953125,-41.963428920845644,False,2023-06-06 16:04:52.957114
12,24810.78125,-41.73424533834045,False,2023-06-06 16:04:52.974517
13,24810.78125,-41.50506175583526,False,2023-06-06 16:04:52.997962
14,24801.626953125,-41.29306975947099,False,2023-06-06 16:04:53.017711
15,24801.626953125,-41.063886176965795,False,2023-06-06 16:04:53.049262
16,24801.626953125,-40.84043312317424,False,2023-06-06 16:04:53.065916
17,24801.59765625,-40.622707183001744,True,2023-06-06 16:04:54.124047
18,24801.626953125,-40.40498465792383,False,2023-06-06 16:04:53.121676
19,24801.626953125,-40.18153160413228,False,2023-06-06 16:04:53.140923
20,24801.626953125,-39.96380566395979,False,2023-06-06 16:04:53.159321
21,24801.626953125,-39.734622081454596,False,2023-06-06 16:04:53.185875
22,24801.626953125,-39.511169027663044,False,2023-06-06 16:04:53.206182
23,24801.626953125,-39.28198544515785,False,2023-06-06 16:04:53.223688
24,24801.626953125,-39.06426292007994,False,2023-06-06 16:04:53.241286
25,24801.626953125,-38.823621695242046,False,2023-06-06 16:04:53.266496
26,24801.626953125,-39.06426292007994,False,2023-06-06 16:04:53.287691
27,24801.626953125,-38.83507933757475,False,2023-06-06 16:04:53.319242
28,24801.626953125,-38.611626283783195,False,2023-06-06 16:04:53.337897
29,24801.59765625,-38.393900343610696,True,2023-06-06 16:04:54.124080
30,24801.51171875,-38.181894686868084,True,2023-06-06 16:04:54.124961
31,24792.470703125,-37.96418240707393,False,2023-06-06 16:04:53.411924
32,24792.470703125,-37.740729353282376,False,2023-06-06 16:04:53.430090
33,24792.470703125,-37.51154577077718,False,2023-06-06 16:04:53.450043
34,24792.470703125,-37.31101141674561,False,2023-06-06 16:04:53.472109
35,24792.470703125,-37.10474653400039,False,2023-06-06 16:04:53.489788
36,24792.470703125,-36.88129348020884,False,2023-06-06 16:04:53.509695
37,24792.470703125,-36.66357095513093,False,2023-06-06 16:04:53.527941
38,24792.470703125,-36.474494243432055,False,2023-06-06 16:04:53.545118
39,24792.470703125,-36.23384960349958,False,2023-06-06 16:04:53.566277
40,24792.470703125,-36.02185760713531,False,2023-06-06 16:04:53.594041
41,24792.470703125,-35.81559272439009,False,2023-06-06 16:04:53.624507
42,24792.470703125,-35.603597312931235,False,2023-06-06 16:04:53.644040
43,24783.31640625,-35.38014425913968,False,2023-06-06 16:04:53.677235
44,24783.31640625,-35.17387937639447,False,2023-06-06 16:04:53.695155
45,24783.31640625,-34.944695793889274,False,2023-06-06 16:04:53.712829
46,24783.31640625,-34.72124274009772,False,2023-06-06 16:04:53.730575
47,24783.31640625,-34.51497785735251,False,2023-06-06 16:04:53.749093
48,24783.31640625,-34.302982445893655,False,2023-06-06 16:04:53.770779
49,24783.31640625,-34.07379886338846,False,2023-06-06 16:04:53.809008
50,24783.31640625,-33.85034580959691,False,2023-06-06 16:04:53.826360
51,24783.31640625,-33.621162227091716,False,2023-06-06 16:04:53.844137
52,24792.470703125,-33.403439702013806,False,2023-06-06 16:04:53.863383
53,24783.31640625,-33.185717176935896,False,2023-06-06 16:04:53.880131
54,24755.853515625,-32.96750970842691,True,2023-06-06 16:04:54.124980
55,24783.31640625,-32.744538182971844,False,2023-06-06 16:04:53.917383
56,24783.31640625,-32.51535460046665,False,2023-06-06 16:04:53.937242
57,24783.31640625,-32.280440489247816,False,2023-06-06 16:04:53.968685
58,24783.31640625,-32.062717964169906,False,2023-06-06 16:04:53.987289
59,24783.31640625,-31.833534381664712,False,2023-06-06 16:04:54.004655
60,24783.31640625,-31.621542385300444,False,2023-06-06 16:04:54.023550
61,24774.16015625,-31.403816445127948,False,2023-06-06 16:04:54.043817
62,24774.16015625,-31.180363391336392,False,2023-06-06 16:04:54.062435
63,24774.16015625,-30.962640866258482,False,2023-06-06 16:04:54.099986
64,24783.31640625,-30.73345728375329,False,2023-06-06 16:04:54.105349
65,24774.16015625,-30.515731343580793,False,2023-06-06 16:04:54.123680
66,24774.16015625,-30.303739347216524,False,2023-06-06 16:04:54.141192
67,24774.16015625,-30.080282878330387,False,2023-06-06 16:04:54.157954
68,24774.16015625,-29.862560353252473,False,2023-06-06 16:04:54.180612
69,24774.16015625,-29.644837828174563,False,2023-06-06 16:04:54.201054
70,24774.16015625,-29.432842416715708,False,2023-06-06 16:04:54.231517
71,24765.005859375,-29.215116476543212,False,2023-06-06 16:04:54.249329
72,24765.005859375,-29.00312448017894,False,2023-06-06 16:04:54.270791
73,24765.005859375,-28.785398540006444,False,2023-06-06 16:04:54.290562
74,24765.005859375,-28.550486136334904,False,2023-06-06 16:04:54.310911
75,24765.005859375,-28.33276361125699,False,2023-06-06 16:04:54.335345
76,24765.005859375,-28.120768199798135,False,2023-06-06 16:04:54.353136
77,24755.849609375,-27.92023384576656,False,2023-06-06 16:04:54.371565
78,24755.849609375,-27.713968963021344,False,2023-06-06 16:04:54.389223
79,24755.849609375,-27.4905142016825,False,2023-06-06 16:04:54.407065
80,24755.849609375,-27.2613323267246,False,2023-06-06 16:04:54.441909
81,24755.849609375,-27.043608094099397,False,2023-06-06 16:04:54.469975
82,24755.849609375,-26.820155040307846,False,2023-06-06 16:04:54.494245
83,24755.849609375,-26.590971457802652,False,2023-06-06 16:04:54.513744
84,24755.849609375,-26.36178787529746,False,2023-06-06 16:04:54.533963
85,24755.849609375,-26.11541612174593,False,2023-06-06 16:04:54.551414
86,24755.849609375,-26.33314035437113,False,2023-06-06 16:04:54.569529
87,24755.849609375,-26.09249742198595,False,2023-06-06 16:04:54.596011
88,24765.005859375,-25.86331554702805,False,2023-06-06 16:04:54.613165
