index,sent_at
0,2023-06-14 11:10:37.578965
1,2023-06-14 11:10:37.596921
2,2023-06-14 11:10:37.614288
3,2023-06-14 11:10:37.633515
4,2023-06-14 11:10:37.651095
5,2023-06-14 11:10:37.668289
6,2023-06-14 11:10:37.687442
7,2023-06-14 11:10:37.710906
8,2023-06-14 11:10:37.728254
9,2023-06-14 11:10:37.745464
10,2023-06-14 11:10:37.762793
11,2023-06-14 11:10:37.782216
12,2023-06-14 11:10:37.849046
13,2023-06-14 11:10:37.866386
14,2023-06-14 11:10:37.953875
15,2023-06-14 11:10:37.971235
16,2023-06-14 11:10:38.001802
17,2023-06-14 11:10:38.019271
18,2023-06-14 11:10:38.116454
19,2023-06-14 11:10:38.133864
20,2023-06-14 11:10:38.151130
21,2023-06-14 11:10:38.169245
22,2023-06-14 11:10:38.186683
23,2023-06-14 11:10:38.235322
24,2023-06-14 11:10:38.252643
25,2023-06-14 11:10:38.278233
26,2023-06-14 11:10:38.295704
27,2023-06-14 11:10:38.341794
28,2023-06-14 11:10:38.359049
29,2023-06-14 11:10:38.392184
30,2023-06-14 11:10:38.409545
31,2023-06-14 11:10:38.426823
32,2023-06-14 11:10:38.445333
33,2023-06-14 11:10:38.468367
34,2023-06-14 11:10:38.485730
35,2023-06-14 11:10:38.503040
36,2023-06-14 11:10:38.520589
37,2023-06-14 11:10:38.544792
38,2023-06-14 11:10:38.563888
39,2023-06-14 11:10:38.582046
40,2023-06-14 11:10:38.599337
41,2023-06-14 11:10:38.616676
42,2023-06-14 11:10:38.638406
43,2023-06-14 11:10:38.656251
44,2023-06-14 11:10:38.674146
45,2023-06-14 11:10:38.691766
46,2023-06-14 11:10:38.711441
47,2023-06-14 11:10:38.736540
48,2023-06-14 11:10:38.753883
49,2023-06-14 11:10:38.771235
50,2023-06-14 11:10:38.789490
51,2023-06-14 11:10:38.806899
52,2023-06-14 11:10:38.835524
53,2023-06-14 11:10:38.852890
54,2023-06-14 11:10:38.904637
55,2023-06-14 11:10:38.922614
56,2023-06-14 11:10:38.954867
57,2023-06-14 11:10:38.972286
58,2023-06-14 11:10:39.003194
59,2023-06-14 11:10:39.021004
60,2023-06-14 11:10:39.097448
61,2023-06-14 11:10:39.114703
62,2023-06-14 11:10:39.157522
63,2023-06-14 11:10:39.174845
64,2023-06-14 11:10:39.261172
65,2023-06-14 11:10:39.278567
66,2023-06-14 11:10:39.342439
67,2023-06-14 11:10:39.359858
68,2023-06-14 11:10:39.387939
69,2023-06-14 11:10:39.552283
70,2023-06-14 11:10:39.570212
71,2023-06-14 11:10:39.587629
72,2023-06-14 11:10:39.611587
73,2023-06-14 11:10:39.657170
74,2023-06-14 11:10:39.695947
75,2023-06-14 11:10:39.759159
76,2023-06-14 11:10:39.776480
77,2023-06-14 11:10:39.793687
78,2023-06-14 11:10:39.812281
79,2023-06-14 11:10:39.833717
80,2023-06-14 11:10:39.852682
81,2023-06-14 11:10:39.953401
82,2023-06-14 11:10:39.971187
83,2023-06-14 11:10:40.002400
84,2023-06-14 11:10:40.020570
85,2023-06-14 11:10:40.158935
