index,magnitude,phase_angle,is_predicted,,,Magnitude01,Angle01
0,24801.62695,-44.45006516,FALSE,,,24801.62643,-44.45006575
1,24801.62695,-44.22088157,FALSE,,,24801.62643,-44.22088263
2,24801.62695,-44.01461669,FALSE,,,24801.62643,-44.01461782
3,24792.4707,-43.79116364,FALSE,,,24792.47116,-43.79116428
4,24801.62695,-43.56198005,FALSE,,,24801.62643,-43.56198116
5,24801.62695,-43.33279647,FALSE,,,24801.62643,-43.33279805
6,24801.62695,-43.1036163,FALSE,,,24801.62643,-43.10361493
7,24801.62695,-42.89162089,FALSE,,,24801.62643,-42.89162054
8,24801.62695,-42.67389495,FALSE,,,24801.62643,-42.67389658
9,24801.62695,-42.43325373,FALSE,,,24801.62643,-42.43325431
10,24801.62695,-42.1926125,FALSE,,,24801.62643,-42.19261203
11,24801.62695,-41.96342892,FALSE,,,24801.62643,-41.96342892
12,24810.78125,-41.73424534,FALSE,,,24810.7817,-41.7342458
13,24810.78125,-41.50506176,FALSE,,,24810.7817,-41.50506268
14,24801.62695,-41.29306976,FALSE,,,24801.62643,-41.2930683
15,24801.62695,-41.06388618,FALSE,,,24801.62643,-41.06388518
16,24801.62695,-40.84043312,FALSE,,,24801.62643,-40.84043164
17,24801.62695,-40.62270718,FALSE,,,24801.62643,-40.62270767
18,24801.62695,-40.40498466,FALSE,,,24801.62643,-40.40498371
19,24801.62695,-40.1815316,FALSE,,,24801.62643,-40.18153017
20,24801.62695,-39.96380566,FALSE,,,24801.62643,-39.96380621
21,24801.62695,-39.73462208,FALSE,,,24801.62643,-39.73462309
22,24801.62695,-39.51116903,FALSE,,,24801.62643,-39.51116955
23,24801.62695,-39.28198545,FALSE,,,24801.62643,-39.28198643
24,24801.62695,-39.06426292,FALSE,,,24801.62643,-39.06426247
25,24801.62695,-38.8236217,FALSE,,,24801.62643,-38.8236202
26,24801.62695,-39.06426292,FALSE,,,24801.62643,-39.06426247
27,24801.62695,-38.83507934,FALSE,,,24801.62643,-38.83507935
28,24801.62695,-38.61162628,FALSE,,,24801.62643,-38.61162581
29,24801.62695,-38.39390034,FALSE,,,24801.62643,-38.39390185
30,24801.62695,-38.18190835,FALSE,,,24801.62643,-38.18190747
31,24792.4707,-37.96418241,FALSE,,,24792.47116,-37.96418351
32,24792.4707,-37.74072935,FALSE,,,24792.47116,-37.74072997
33,24792.4707,-37.51154577,FALSE,,,24792.47116,-37.51154685
34,24792.4707,-37.31101142,FALSE,,,24792.47116,-37.31101162
35,24792.4707,-37.10474653,FALSE,,,24792.47116,-37.10474681
36,24792.49805,-36.89274771,TRUE,,,24792.47116,-36.88129327
37,24792.57813,-36.67501494,TRUE,,,24792.47116,-36.66356931
38,24792.4707,-36.47449424,FALSE,,,24792.47116,-36.47449324
39,24792.4707,-36.2338496,FALSE,,,24792.47116,-36.23385096
40,24790.3457,-36.38279554,TRUE,,,24792.47116,-36.02185658
41,24792.4707,-35.81559272,FALSE,,,24792.47116,-35.81559177
42,24792.4707,-35.60359731,FALSE,,,24792.47116,-35.60359739
43,24783.31641,-35.38014426,FALSE,,,24783.31589,-35.38014385
44,24783.31641,-35.17387938,FALSE,,,24783.31589,-35.17387904
45,24783.31641,-34.94469579,FALSE,,,24783.31589,-34.94469593
46,24783.31641,-34.72124274,FALSE,,,24783.31589,-34.72124238
47,24783.31641,-34.51497786,FALSE,,,24783.31589,-34.51497758
48,24783.31641,-34.30298245,FALSE,,,24783.31589,-34.30298319
49,24783.31641,-34.07379886,FALSE,,,24783.31589,-34.07380008
50,24783.31641,-33.85034581,FALSE,,,24783.31589,-33.85034654
51,24783.31641,-33.62116223,FALSE,,,24783.31589,-33.62116342
52,24792.4707,-33.4034397,FALSE,,,24792.47116,-33.40343946
53,24783.31641,-33.18571718,FALSE,,,24783.31589,-33.18571549
54,24755.85352,-32.96750971,TRUE,,,24783.31589,-32.96226195
55,24783.31641,-32.74453818,FALSE,,,24783.31589,-32.74453799
56,24783.31641,-32.5153546,FALSE,,,24783.31589,-32.51535487
57,24783.31641,-32.28044049,FALSE,,,24783.31589,-32.28044218
58,24783.31641,-32.06271796,FALSE,,,24783.31589,-32.06271822
59,24783.31641,-31.83353438,FALSE,,,24783.31589,-31.8335351
60,24783.375,-31.59288633,TRUE,,,24783.31589,-31.62154071
61,24774.16016,-31.40381645,FALSE,,,24774.16062,-31.40381675
62,24774.16016,-31.18036339,FALSE,,,24774.16062,-31.18036321
63,24774.16016,-30.96264087,FALSE,,,24774.16062,-30.96263925
64,24774.13281,-30.75064545,TRUE,,,24783.31589,-30.73345613
65,24774.16016,-30.51573134,FALSE,,,24774.16062,-30.51573217
66,24774.16016,-30.30373935,FALSE,,,24774.16062,-30.30373778
67,24773.0332,-30.32665122,TRUE,,,24774.16062,-30.08028424
68,24774.16016,-29.86256035,FALSE,,,24774.16062,-29.86256028
69,24774.16016,-29.64483783,FALSE,,,24774.16062,-29.64483632
70,24774.16016,-29.43284242,FALSE,,,24774.16062,-29.43284194
71,24765.00586,-29.21511648,FALSE,,,24765.00535,-29.21511797
72,24765.00586,-29.00312448,FALSE,,,24765.00535,-29.00312359
73,24765.00586,-28.78539854,FALSE,,,24765.00535,-28.78539963
74,24765.00586,-28.55048614,FALSE,,,24765.00535,-28.55048693
75,24765.00586,-28.33276361,FALSE,,,24765.00535,-28.33276297
76,24765.00586,-28.1207682,FALSE,,,24765.00535,-28.12076859
77,24755.84961,-27.92023385,FALSE,,,24755.85008,-27.92023336
78,24755.84961,-27.71396896,FALSE,,,24755.85008,-27.71396855
79,24755.84961,-27.4905142,FALSE,,,24755.85008,-27.49051501
80,24755.93555,-27.24986785,TRUE,,,24755.85008,-27.26133189
81,24755.84961,-27.04360809,FALSE,,,24755.85008,-27.04360793
82,24755.84961,-26.82015504,FALSE,,,24755.85008,-26.82015439
83,24755.84961,-26.59097146,FALSE,,,24755.85008,-26.59097127
84,24755.84961,-26.36178788,FALSE,,,24755.85008,-26.36178815
85,24755.84961,-26.11541612,FALSE,,,24755.85008,-26.1154163
86,24755.84961,-26.33314035,FALSE,,,24755.85008,-26.33314026
87,24755.84961,-26.09249742,FALSE,,,24755.85008,-26.09249799
88,24765.00586,-25.86331555,FALSE,,,24765.00535,-25.86331487
89,24765.00586,-25.62267261,FALSE,,,24765.00535,-25.6226726
90,24755.84961,-25.40494838,FALSE,,,24755.85008,-25.40494864
91,24755.84961,-25.16430716,FALSE,,,24755.85008,-25.16430636
92,24765.00586,-24.92366422,FALSE,,,24765.00535,-24.92366409
93,24765.00586,-24.69448064,FALSE,,,24765.00535,-24.69448097
94,24765.00586,-24.46529706,FALSE,,,24765.00535,-24.46529785
95,24765.00586,-24.22465583,FALSE,,,24765.00535,-24.22465558
96,24765.00586,-23.9840129,FALSE,,,24765.00535,-23.9840133
97,24765.00586,-23.74337168,FALSE,,,24765.00535,-23.74337103
98,24765.00586,-23.5141881,FALSE,,,24765.00535,-23.51418791
99,24765.00586,-23.27354516,FALSE,,,24765.00535,-23.27354564
100,24765.06836,-23.02143947,TRUE,,,24765.00535,-23.04436252
101,24765.00586,-22.81517971,FALSE,,,24765.00535,-22.8151794
102,24765.00586,-22.57453677,FALSE,,,24765.00535,-22.57453713
103,24765.00586,-22.33389555,FALSE,,,24765.00535,-22.33389485
104,24765.00586,-22.10471197,FALSE,,,24765.00535,-22.10471174
105,24765.00586,-21.87552838,FALSE,,,24765.00535,-21.87552862
106,24765.00586,-21.64061598,FALSE,,,24765.00535,-21.64061592
107,24765.00586,-21.4114324,FALSE,,,24765.00535,-21.4114328
108,24764.97656,-21.18797422,TRUE,,,24765.00535,-21.17079053
109,24764.88867,-20.97023462,TRUE,,,24765.00535,-20.93014826
110,24774.16016,-20.69523584,FALSE,,,24774.16062,-20.69523556
111,24774.16016,-20.46032343,FALSE,,,24774.16062,-20.46032286
112,24774.16016,-20.23113985,FALSE,,,24774.16062,-20.23113975
113,24774.16016,-20.00195627,FALSE,,,24774.16062,-20.00195663
114,24765.00586,-19.77277268,FALSE,,,24765.00535,-19.77277351
115,24774.16016,-19.52067211,FALSE,,,24774.16062,-19.52067208
116,24774.16016,-19.28002918,FALSE,,,24774.16062,-19.28002981
117,24774.16016,-19.0508473,FALSE,,,24774.16062,-19.05084669
118,24774.16016,-18.82166372,FALSE,,,24774.16062,-18.82166357
119,24774.16016,-18.58102079,FALSE,,,24774.16062,-18.5810213
120,24774.22266,-18.32891509,TRUE,,,24774.16062,-18.34037902
121,24774.16016,-18.10546716,FALSE,,,24774.16062,-18.10546633
122,24774.16016,-17.87055305,FALSE,,,24774.16062,-17.87055363
123,24774.16016,-17.65282882,FALSE,,,24774.16062,-17.65282967
124,24774.16016,-17.43510629,FALSE,,,24774.16062,-17.43510571
125,24774.16016,-17.20019218,FALSE,,,24774.16062,-17.20019301
126,24765.00586,-16.98246965,FALSE,,,24765.00535,-16.98246905
127,24774.16016,-16.76474542,FALSE,,,24774.16062,-16.76474509
128,24774.16016,-16.53556184,FALSE,,,24774.16062,-16.53556197
129,24774.16016,-16.32356814,FALSE,,,24774.16062,-16.32356758
130,24765.00586,-16.0829252,FALSE,,,24765.00535,-16.08292531
131,24765.00586,-15.85374162,FALSE,,,24765.00535,-15.85374219
132,24774.09961,-15.63626669,TRUE,,,24774.16062,-15.61309992
133,24774.16016,-15.39537616,FALSE,,,24774.16062,-15.39537596
134,24774.16016,-15.17192311,FALSE,,,24774.16062,-15.17192242
135,24774.16016,-14.95419888,FALSE,,,24774.16062,-14.95419845
136,24774.16016,-14.72501529,FALSE,,,24774.16062,-14.72501533
137,24774.16016,-14.50156224,FALSE,,,24774.16062,-14.50156179
138,24765.00586,-14.27237866,FALSE,,,24765.00535,-14.27237868
139,24746.72656,-14.03720073,TRUE,,,24774.16062,-14.04319556
140,24774.16016,-13.83120137,FALSE,,,24774.16062,-13.83120117
141,24774.16016,-13.60201779,FALSE,,,24774.16062,-13.60201806
142,24774.16016,-13.37283506,FALSE,,,24774.16062,-13.37283494
143,24765.00586,-13.14365148,FALSE,,,24765.00535,-13.14365182
144,24765.00586,-12.92019842,FALSE,,,24765.00535,-12.92019828
145,24774.16016,-12.70247419,FALSE,,,24774.16062,-12.70247432
146,24774.16016,-12.94311627,FALSE,,,24774.16062,-12.94311659
147,24774.16016,-12.73112257,FALSE,,,24774.16062,-12.73112221
148,24776.33203,-12.06653833,TRUE,,,24774.16062,-12.50193909
149,24774.16016,-12.27275625,FALSE,,,24774.16062,-12.27275597
150,24774.16016,-12.05503202,FALSE,,,24774.16062,-12.05503201
151,24774.16016,-11.82011962,FALSE,,,24774.16062,-11.82011931
152,24774.16016,-11.61385474,FALSE,,,24774.16062,-11.61385451
153,24774.16016,-11.38467115,FALSE,,,24774.16062,-11.38467139
154,24774.16016,-11.1612181,FALSE,,,24774.16062,-11.16121785
155,24774.16016,-10.93203452,FALSE,,,24774.16062,-10.93203473
156,24774.16016,-10.70285179,FALSE,,,24774.16062,-10.70285161
157,24774.16016,-10.48512756,FALSE,,,24774.16062,-10.48512765
158,24774.16016,-10.2616745,FALSE,,,24774.16062,-10.26167411
159,24774.16016,-10.04395027,FALSE,,,24774.16062,-10.04395015
160,24774.13281,-9.831951442,TRUE,,,24774.16062,-9.814767031
161,24774.16016,-9.602772982,FALSE,,,24774.16062,-9.602772646
162,24774.16016,-9.3735894,FALSE,,,24774.16062,-9.373589528
