index,magnitude,phase_angle,is_predicted,received_at
13,12442.01171875,-42.4363580491665,True,2023-09-25 16:23:40.941228
29,12442.01171875,-39.06571775037315,True,2023-09-25 16:23:40.983127
42,12433.3193359375,-36.9689931091518,True,2023-09-25 16:23:41.025347
64,12432.8564453125,-32.39228142181219,True,2023-09-25 16:23:42.006719
77,12432.6708984375,-29.99845721207363,True,2023-09-25 16:23:42.053959
93,12442.01171875,-26.681748086966707,True,2023-09-25 16:23:42.095919
115,12432.8564453125,-22.30990450868704,True,2023-09-25 16:23:43.042941
122,12432.8564453125,-20.83317492144797,True,2023-09-25 16:23:43.094658
141,12423.7001953125,-17.21073116116564,True,2023-09-25 16:23:43.159527
166,12423.701171875,-11.831862420905864,True,2023-09-25 16:23:44.015400
174,12423.6982421875,-10.2160898189592,True,2023-09-25 16:23:44.060353
180,12423.701171875,-9.37156510261745,True,2023-09-25 16:23:44.100876
184,12423.701171875,-8.46942603307935,True,2023-09-25 16:23:44.141155
189,12423.701171875,-7.567078642771563,True,2023-09-25 16:23:44.181825
312,12432.8564453125,19.140273262072583,True,2023-09-25 16:23:47.045554
328,12425.70703125,22.677141582243824,True,2023-09-25 16:23:47.085735
368,12418.2041015625,31.195820109428134,True,2023-09-25 16:23:48.220894
372,12423.701171875,31.809338436529945,True,2023-09-25 16:23:48.277855
397,12423.701171875,37.53445081015882,True,2023-09-25 16:23:48.327482
425,12414.5458984375,44.03381976772201,True,2023-09-25 16:23:49.430854
432,12414.5458984375,44.92443545435665,True,2023-09-25 16:23:49.483021
490,12405.390625,58.11844164766451,True,2023-09-25 16:23:50.745759
524,12405.390625,65.97070032507797,True,2023-09-25 16:23:50.797902
538,12405.34375,69.08868851137795,True,2023-09-25 16:23:51.765610
541,12405.34375,69.08868851137795,True,2023-09-25 16:23:51.766175
543,12405.34375,69.08805330378514,True,2023-09-25 16:23:51.810767
559,12405.390625,73.06519049521353,True,2023-09-25 16:23:51.849969
574,12404.8544921875,76.35407684473641,True,2023-09-25 16:23:51.890159
594,12412.48046875,80.9209325691037,True,2023-09-25 16:23:52.949669
603,12423.701171875,82.55349804489849,True,2023-09-25 16:23:52.995948
625,12414.5458984375,87.43746579205113,True,2023-09-25 16:23:53.036339
630,12414.5458984375,88.34773193292789,True,2023-09-25 16:23:53.076299
642,12414.5458984375,91.0955238662132,True,2023-09-25 16:23:54.011336
658,12403.6240234375,94.55500102044631,True,2023-09-25 16:23:54.063278
671,12393.5205078125,97.11825490273621,True,2023-09-25 16:23:54.101225
684,12387.080078125,99.53988481258588,True,2023-09-25 16:23:54.133997
703,12387.080078125,104.01288007737885,True,2023-09-25 16:23:55.312590
720,12387.080078125,107.84000582406625,True,2023-09-25 16:23:55.354160
736,12387.080078125,111.40874551445206,True,2023-09-25 16:23:55.393693
749,12388.8486328125,114.32965542244051,True,2023-09-25 16:23:55.434925
758,12377.8759765625,115.99616010822109,True,2023-09-25 16:23:56.350463
774,12377.9248046875,119.61154316044892,True,2023-09-25 16:23:56.409512
844,12377.9248046875,136.91746666807703,True,2023-09-25 16:23:58.182516
849,12377.923828125,137.5704190923519,True,2023-09-25 16:23:58.223834
853,12377.921875,138.2346413287573,True,2023-09-25 16:23:58.264493
859,12379.6904296875,139.56088648065537,True,2023-09-25 16:23:58.303937
912,12393.8779296875,153.22178391505778,True,2023-09-25 16:23:59.567353
930,12389.9921875,157.3864371199597,True,2023-09-25 16:23:59.615976
947,12391.416015625,161.80417615436727,True,2023-09-25 16:23:59.658967
968,12402.830078125,167.10040045944353,True,2023-09-25 16:24:00.650470
