index,magnitude,phase_angle,is_predicted,received_at
533,12405.390625,73.10216913937998,True,2024-01-23 23:58:53.074714
1005,12405.390625,-170.7499207971431,True,2024-01-23 23:59:05.771725
1008,12405.390625,-170.29468868896174,True,2024-01-23 23:59:06.211159
1010,12405.390625,-170.29468868896174,True,2024-01-23 23:59:06.212414
1016,12405.390625,-168.82894375345535,True,2024-01-23 23:59:06.711489
1018,12405.390625,-168.82894375345535,True,2024-01-23 23:59:06.712419
1025,12405.390625,-166.91526135180118,True,2024-01-23 23:59:07.196159
1029,12405.390625,-166.10018755738687,True,2024-01-23 23:59:07.738020
1032,12405.390625,-165.74881530572472,True,2024-01-23 23:59:08.084300
1034,12405.390625,-165.74881530572472,True,2024-01-23 23:59:08.089961
1067,12396.2353515625,-157.08756170225828,True,2024-01-23 23:59:08.459780
1069,12396.2353515625,-157.08756170225828,True,2024-01-23 23:59:08.460994
1081,12396.2353515625,-153.70380402516392,True,2024-01-23 23:59:08.925965
1094,12398.0556640625,-150.76588011595297,True,2024-01-23 23:59:09.332067
1098,12398.0556640625,-149.9113961300277,True,2024-01-23 23:59:09.832066
1100,12398.0556640625,-149.9113961300277,True,2024-01-23 23:59:09.832215
1109,12402.8232421875,-147.56756207482448,True,2024-01-23 23:59:10.287603
1113,12389.0029296875,-146.6927787666859,True,2024-01-23 23:59:10.813451
1117,12396.3515625,-145.9321689007133,True,2024-01-23 23:59:11.276973
1119,12396.3515625,-145.9321689007133,True,2024-01-23 23:59:11.278659
1123,12387.330078125,-144.50500087363912,True,2024-01-23 23:59:11.707855
1126,12396.234375,-144.0840699754696,True,2024-01-23 23:59:12.148852
1130,12396.2353515625,-143.7093657976027,True,2024-01-23 23:59:12.566746
1155,12389.3076171875,-136.97642486099258,True,2024-01-23 23:59:13.110657
1159,12387.92578125,-136.44372474724494,True,2024-01-23 23:59:13.573224
1161,12379.611328125,-135.99584192261054,True,2024-01-23 23:59:14.056003
1167,12396.2353515625,-134.75355345599027,True,2024-01-23 23:59:14.464815
1171,12385.05078125,-134.17305567843087,True,2024-01-23 23:59:14.888734
1175,12387.04296875,-133.60121858073907,True,2024-01-23 23:59:15.256737
1177,12387.04296875,-133.18459070174663,True,2024-01-23 23:59:15.736833
1183,12390.7080078125,-131.90110253405285,True,2024-01-23 23:59:16.164870
1194,12396.2353515625,-128.7831075175637,True,2024-01-23 23:59:16.555618
1210,12398.349609375,-124.70836692289583,True,2024-01-23 23:59:17.108767
1220,12405.390625,-122.20388681841389,True,2024-01-23 23:59:17.574881
1223,12405.390625,-121.81785818690311,True,2024-01-23 23:59:18.033915
1233,12414.5458984375,-119.15296425957426,True,2024-01-23 23:59:18.463370
1250,12414.544921875,-114.95470652395588,True,2024-01-23 23:59:18.893566
1254,12406.046875,-114.30893945868786,True,2024-01-23 23:59:19.190558
1267,12414.544921875,-111.03424624226027,True,2024-01-23 23:59:19.654326
1294,12404.59765625,-104.26022171779253,True,2024-01-23 23:59:20.119795
1311,12414.5458984375,-99.79570271775954,True,2024-01-23 23:59:20.615008
1317,12414.5458984375,-98.39858069284426,True,2024-01-23 23:59:21.177256
1324,12414.5458984375,-97.05492538875184,True,2024-01-23 23:59:21.618363
1328,12414.544921875,-96.11479766082378,True,2024-01-23 23:59:22.177574
1332,12395.865234375,-95.73186310500702,True,2024-01-23 23:59:22.622512
1336,12414.5458984375,-94.9417809727658,True,2024-01-23 23:59:23.073020
1338,12414.544921875,-94.53757720787361,True,2024-01-23 23:59:23.517912
1348,12407.28125,-91.7852773497361,True,2024-01-23 23:59:23.996152
1363,12412.669921875,-88.34051925316436,True,2024-01-23 23:59:24.540545
1373,12414.1181640625,-85.6035599999027,True,2024-01-23 23:59:24.955680
1386,12414.5458984375,-82.67983605397622,True,2024-01-23 23:59:25.315820
1409,12414.5458984375,-76.51521466763535,True,2024-01-23 23:59:25.717430
1424,12427.2275390625,-72.58816325339068,True,2024-01-23 23:59:25.974509
1426,12427.2275390625,-72.58816325339068,True,2024-01-23 23:59:25.979758
1429,12423.701171875,-72.07240883897384,True,2024-01-23 23:59:26.378113
1433,12423.701171875,-71.24243157179058,True,2024-01-23 23:59:26.952984
1438,12423.7001953125,-69.96000208341815,True,2024-01-23 23:59:27.436969
1441,12423.701171875,-69.58897254732472,True,2024-01-23 23:59:27.946595
1443,12423.701171875,-69.58897254732472,True,2024-01-23 23:59:27.947338
