,Unnamed: 0,chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
0,0,2014-01-28 18:00:13.583000000,2014-01-28 23:00:13.583000000,8,22,4096,60.037,-0.001,24801.62643,-44.45006574624927,24874.86859,-164.60504496313422,24929.80021,75.30957259199539,0,0,0,0,0,0,417.01936,-93.1743966441745,444.48496000000006,149.2956126772386,456.84448,25.49662188332164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2014-01-28 18:00:13.600000000,2014-01-28 23:00:13.600000000,8,22,4096,60.037,0.0,24801.62643,-44.22088262819694,24874.86859,-164.3815914230332,24929.80021,75.53875571004774,0,0,0,0,0,0,415.64608,-92.9910501497326,443.56944,149.45031128192394,455.4712,25.616943020299107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2014-01-28 18:00:13.617000000,2014-01-28 23:00:13.617000000,8,22,4096,60.039,0.002,24801.62643,-44.01461782194984,24874.86859,-164.15240830498087,24938.95548,75.75647967219746,0,0,0,0,0,0,417.01936,-92.72175998602113,444.48496000000006,149.71960144563542,456.38672,25.914881073767138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2014-01-28 18:00:13.633000000,2014-01-28 23:00:13.633000000,8,22,4096,60.037,-0.002,24792.47116,-43.791164281848815,24874.86859,-163.93468434283116,24938.95548,75.97993321229846,0,0,0,0,0,0,415.18832,-92.7045712521672,442.65392,150.195156415594,457.7600000000001,26.19563039338124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2014-01-28 18:00:13.650000000,2014-01-28 23:00:13.650000000,8,22,4096,60.038,0.001,24801.62643,-43.56198116379649,24874.86859,-163.70550122477883,24938.95548,76.19765717444818,0,0,0,0,0,0,417.93488,-92.13161345703638,445.85824,150.16650852583746,456.84448,26.378976887823104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2014-01-28 18:00:13.667000000,2014-01-28 23:00:13.667000000,8,22,4096,60.039,0.001,24801.62643,-43.33279804574416,24874.86859,-163.4820476846778,24938.95548,76.43829944840314,0,0,0,0,0,0,417.01936,-92.0055627421076,444.94272,150.43006911159765,456.84448,26.556593804313657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2014-01-28 18:00:13.683000000,2014-01-28 23:00:13.683000000,8,22,4096,60.037,-0.002,24801.62643,-43.10361492769184,24874.86859,-163.26432372252808,24938.95548,76.65602341055283,0,0,0,0,0,0,417.47712,-91.83367540356836,444.94272,150.76811421072483,458.21776000000006,26.946205105002612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2014-01-28 18:00:13.700000000,2014-01-28 23:00:13.700000000,8,22,4096,60.034,-0.003,24801.62643,-42.89162054349343,24874.86859,-163.04087018242706,24938.95548,76.87947695065385,0,0,0,0,0,0,419.7659200000001,-91.54146692805163,446.316,150.84832830204314,458.67552000000006,27.2097656907628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2014-01-28 18:00:13.717000000,2014-01-28 23:00:13.717000000,8,22,4096,60.037,0.003,24801.62643,-42.67389658134372,24874.86859,-162.81168706437472,24938.95548,77.08574175690096,0,0,0,0,0,0,418.39264,-91.2435288745836,446.316,151.06605226419285,457.30224,27.27852062617849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,2014-01-28 18:00:13.733000000,2014-01-28 23:00:13.733000000,8,22,4096,60.04,0.003,24801.62643,-42.433254307388765,24874.86859,-162.58250394632242,24938.95548,77.3263840308559,0,0,0,0,0,0,415.18832,-91.37530916746368,442.65392,151.38690862946612,456.84448,27.41603049700989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
