1 : 1 | Magnitude: 24801.626953125 | Phase_angle: -44.45006515612092
2 : 2 | Magnitude: 24801.626953125 | Phase_angle: -44.22088157361573
3 : 3 | Magnitude: 24801.626953125 | Phase_angle: -44.01461669087051
4 : 43521 | Magnitude: 24801.51953125 | Phase_angle: -43.83126709279069
5 : 43521 | Magnitude: 24801.2109375 | Phase_angle: -43.67082594918709
6 : 43521 | Magnitude: 24800.615234375 | Phase_angle: -43.53328984496513
7 : 7 | Magnitude: 24801.626953125 | Phase_angle: -43.10361630465797
8 : 8 | Magnitude: 24801.626953125 | Phase_angle: -42.89162089319911
9 : 9 | Magnitude: 24801.626953125 | Phase_angle: -42.67389495302662
10 : 10 | Magnitude: 24801.626953125 | Phase_angle: -42.433253728188724
11 : 11 | Magnitude: 24801.626953125 | Phase_angle: -42.19261250335084
12 : 12 | Magnitude: 24801.626953125 | Phase_angle: -41.963428920845644
13 : 13 | Magnitude: 24810.78125 | Phase_angle: -41.73424533834045
14 : 14 | Magnitude: 24810.78125 | Phase_angle: -41.50506175583526
15 : 15 | Magnitude: 24801.626953125 | Phase_angle: -41.29306975947099
16 : 16 | Magnitude: 24801.626953125 | Phase_angle: -41.063886176965795
17 : 17 | Magnitude: 24801.626953125 | Phase_angle: -40.84043312317424
18 : 18 | Magnitude: 24801.626953125 | Phase_angle: -40.622707183001744
19 : 19 | Magnitude: 24801.626953125 | Phase_angle: -40.40498465792383
20 : 20 | Magnitude: 24801.626953125 | Phase_angle: -40.18153160413228
21 : 21 | Magnitude: 24801.626953125 | Phase_angle: -39.96380566395979
22 : 43521 | Magnitude: 24801.599609375 | Phase_angle: -39.75180342231176
23 : 43521 | Magnitude: 24801.515625 | Phase_angle: -39.54552146409362
24 : 24 | Magnitude: 24801.626953125 | Phase_angle: -39.28198544515785
25 : 25 | Magnitude: 24801.626953125 | Phase_angle: -39.06426292007994
26 : 26 | Magnitude: 24801.626953125 | Phase_angle: -38.823621695242046
27 : 27 | Magnitude: 24801.626953125 | Phase_angle: -39.06426292007994
28 : 43521 | Magnitude: 24804.251953125 | Phase_angle: -39.78612853798566
29 : 29 | Magnitude: 24801.626953125 | Phase_angle: -38.611626283783195
30 : 30 | Magnitude: 24801.626953125 | Phase_angle: -38.393900343610696
31 : 31 | Magnitude: 24801.626953125 | Phase_angle: -38.18190834724643
32 : 32 | Magnitude: 24792.470703125 | Phase_angle: -37.96418240707393
33 : 33 | Magnitude: 24792.470703125 | Phase_angle: -37.740729353282376
34 : 34 | Magnitude: 24792.470703125 | Phase_angle: -37.51154577077718
35 : 35 | Magnitude: 24792.470703125 | Phase_angle: -37.31101141674561
36 : 36 | Magnitude: 24792.470703125 | Phase_angle: -37.10474653400039
37 : 37 | Magnitude: 24792.470703125 | Phase_angle: -36.88129348020884
38 : 43521 | Magnitude: 24792.55859375 | Phase_angle: -36.64064884027637
39 : 39 | Magnitude: 24792.470703125 | Phase_angle: -36.474494243432055
40 : 40 | Magnitude: 24792.470703125 | Phase_angle: -36.23384960349958
41 : 41 | Magnitude: 24792.470703125 | Phase_angle: -36.02185760713531
